Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,"51,815,853","553,735","316,545",5,"52,196,381","525,074","350,353",3,"52,642,452","514,257","294,075",4,"53,107,169","536,020","301,012",4,"53,493,729","455,219","300,881",3,"53,865,817","449,062","274,226",3,"54,316,618","520,941","277,380",4,"54,786,327","568,685","261,367",6,"55,268,067","579,326","277,709",5,,"55,619,430",4,"512,075","301,505"
Northern Ireland,"1,779,152","18,261","11,981",4,"1,793,333","14,404","11,406",2,"1,804,833","13,877","12,115",1,"1,814,318","13,401","14,097",0,"1,823,634","12,922","12,480",0,"1,829,725","12,736","13,623",0,"1,840,498","13,300","11,063",1,"1,851,621","13,093","10,298",2,"1,862,137","12,998","11,540",1,,"1,870,834",0,"11,310","10,727"
Scotland,"5,202,900","45,200","30,300",3,"5,231,900","45,100","24,800",4,"5,262,200","47,400","24,600",4,"5,299,900","44,200","16,900",5,"5,313,600","35,900","26,200",2,"5,327,700","28,200","26,100",0,"5,347,600","33,200","25,200",1,"5,373,000","37,800","18,200",4,"5,404,700","40,400","17,500",4,," 5,424,800 ",2," 32,900 "," 19,500 "
Wales,"3,025,867","17,378","10,270",2,"3,038,872","16,674","10,741",2,"3,049,971","14,670","14,447",0,"3,063,758","13,241","11,232",1,"3,074,067","13,713","12,579",0,"3,082,412","13,725","6,414",2,"3,092,036","15,180","9,283",2,"3,099,086","16,699","10,777",2,"3,113,150","16,826","7,150",3,,"3,125,165",2,"15,230","10,140"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,"2,569,312","15,542","9,551",2,"2,575,441","14,841","7,262",3,"2,586,868","15,154","6,117",3,"2,596,441","16,493","8,473",3,"2,602,387","12,251","8,916",1,"2,610,563","13,082","6,524",3,"2,618,736","14,430","10,108",2,"2,624,579","15,132","8,821",2,"2,636,589","15,292","6,001",4,,"2,644,727",2,"13,837","8,678"
North West,"6,958,547","49,239","35,752",2,"6,986,156","44,282","32,167",2,"7,019,921","40,929","25,810",2,"7,055,961","48,677","30,939",3,"7,084,470","40,655","26,578",2,"7,103,488","40,349","30,631",1,"7,133,026","46,003","32,388",2,"7,175,178","51,633","28,038",3,"7,223,961","55,689","30,039",4,,"7,258,627",2,"47,712","36,148"
Yorkshire and The Humber,"5,198,675","40,949","17,466",5,"5,223,344","37,688","22,401",3,"5,254,788","35,412","15,130",4,"5,288,212","38,664","16,106",4,"5,316,897","32,096","21,060",2,"5,337,940","32,282","19,634",2,"5,360,117","36,407","24,706",2,"5,390,211","39,571","19,051",4,"5,425,370","40,702","21,196",4,,"5,450,130",3,"36,667","22,132"
East Midlands,"4,441,125","35,939","18,280",4,"4,471,653","31,534","14,712",4,"4,507,071","30,950","15,899",3,"4,537,448","32,042","18,069",3,"4,567,798","27,744","18,496",2,"4,598,548","30,240","17,588",3,"4,637,369","33,159","13,841",4,"4,677,425","37,107","14,814",5,"4,725,390","38,712","14,965",5,,"4,771,666",4,"33,431","14,119"
