Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
England,5,3,4,4,3,3,4,6,5,4
Northern Ireland,4,2,1,0,0,0,1,2,1,0
Scotland,3,4,4,5,2,0,1,4,4,2
Wales,2,2,0,1,0,2,2,2,3,2
,,,,,,,,,,
North East,2,3,3,3,1,3,2,2,4,2
North West,2,2,2,3,2,1,2,3,4,2
Yorkshire and The Humber,5,3,4,4,2,2,2,4,4,3
East Midlands,4,4,3,3,2,3,4,5,5,4
West Midlands,5,3,3,4,3,2,3,5,6,5
East,3,2,4,3,1,2,4,5,4,2
London,14,11,10,13,8,9,13,15,13,9
South East,3,2,3,2,2,2,4,4,5,3
South West,1,0,2,3,2,2,2,3,2,1
,,,,,,,,,,
Buckinghamshire,1,0,1,1,0,0,2,3,3,2
Cambridgeshire,3,2,8,5,0,3,4,5,3,2
Cumbria,0,1,0,1,0,0,0,1,1,0
Derbyshire,0,0,0,0,0,0,1,1,1,1
Devon,-1,-1,1,3,2,3,3,3,2,2
Dorset,-3,-4,-1,0,1,1,1,2,1,1
East Sussex,0,-1,1,0,0,1,2,2,3,2
Essex,1,0,2,2,1,1,2,3,2,2
Gloucestershire,-1,0,2,2,1,1,2,2,1,1
Hampshire,1,0,1,1,1,0,2,2,2,1
Hertfordshire,2,1,2,2,0,1,3,4,4,2
Kent,3,2,3,2,2,2,3,4,4,3
Lancashire,2,2,3,3,2,1,2,3,2,1
Leicestershire,2,2,2,3,1,1,2,2,2,2
Lincolnshire,5,6,5,2,2,3,5,5,5,4
Norfolk,4,3,4,4,2,3,4,5,3,2
Northamptonshire,3,3,2,2,2,3,5,6,7,5
North Yorkshire,2,1,0,1,0,1,1,1,2,1
Nottinghamshire,2,2,2,1,1,1,2,2,3,2
Oxfordshire,3,3,5,5,2,3,6,5,6,3
Somerset,1,0,1,2,1,1,2,2,2,1
Staffordshire,2,0,1,2,1,1,2,2,2,2
Suffolk,1,-1,1,0,0,0,2,2,2,1
Surrey,2,1,3,2,1,2,3,4,5,3
Warwickshire,4,1,0,0,0,1,2,2,3,3
West Sussex,4,3,4,2,1,2,3,3,4,2
Worcestershire,3,0,0,1,2,2,2,2,3,2
Greater Manchester (Met County),4,3,3,4,3,2,3,5,5,3
Merseyside (Met County),1,1,2,3,3,2,2,4,4,1
South Yorkshire (Met County),5,4,4,5,3,4,4,6,5,4
West Midlands (Met County),6,4,5,6,4,4,5,7,9,7
West Yorkshire (Met County),5,3,4,5,2,2,2,4,4,3
Tyne and Wear (Met County),4,5,6,5,2,4,2,3,5,2
,,,,,,,,,,
Hartlepool,1,1,1,1,0,1,0,1,2,2
Middlesbrough,6,5,7,8,3,4,3,5,9,5
Redcar and Cleveland,0,0,0,0,0,0,1,1,2,1
Stockton-on-Tees,1,1,1,1,1,2,2,2,4,2
Darlington,2,1,-1,0,-1,0,-1,0,1,0
Halton,0,0,0,1,0,0,0,1,2,1
Warrington,2,2,2,1,1,1,2,1,2,0
Blackburn with Darwen,4,3,3,2,1,1,1,3,5,3
Blackpool,-3,-1,1,-2,1,0,1,1,2,1
"Kingston upon Hull, City of",9,5,6,7,2,3,3,4,5,2
East Riding of Yorkshire,2,1,1,2,1,1,1,1,1,0
North East Lincolnshire,3,2,2,2,1,0,1,2,2,1
North Lincolnshire,5,3,4,3,2,2,2,4,3,2
York,6,4,8,8,4,6,4,7,5,4
Derby,6,8,9,4,1,2,4,4,5,4
Leicester,9,6,7,10,5,8,12,15,14,12
Rutland,1,2,0,1,0,0,3,2,2,2
Nottingham,14,13,11,10,7,9,11,12,12,11
"Herefordshire, County of",7,4,2,4,7,4,5,6,5,5
Telford and Wrekin,3,1,2,3,2,0,2,3,4,3
Stoke-on-Trent,5,4,4,4,2,2,2,5,6,5
