(1) Medicine & dentistry,2085,2075,2090,2085,2155
(2) Subjects allied to medicine,7740,7745,7960,8515,8595
(3) Biological sciences,3590,3845,3800,3570,3615
(4) Veterinary science,,,,,
(5) Agriculture & related subjects,580,655,610,585,475
(6) Physical sciences,1820,1740,1760,1710,1715
(7) Mathematical sciences,530,555,575,570,585
(8) Computer science,3890,4155,4285,4240,4360
(9) Engineering & technology,3630,3730,3755,3835,3875
"(A) Architecture, building & planning",1695,1590,1545,1575,1615
(B) Social studies,5060,4830,4785,4625,4650
(C) Law,2030,2070,2110,2250,2210
(D) Business & administrative studies,8340,8270,7690,7515,7500
(E) Mass communications & documentation,990,840,790,805,900
(F) Languages,2075,1895,1890,1790,1700
(G) Historical & philosophical studies,1530,1520,1415,1280,1220
(H) Creative arts & design,2140,2325,2270,2155,2035
(I) Education,6770,6750,6415,6315,6365
(J) Combined,1890,1850,1495,1145,885
