(1) Medicine & dentistry,7750,7705,7650,7645,7655
(2) Subjects allied to medicine,28440,28280,29135,30160,30690
(3) Biological sciences,20975,21625,21845,22935,24020
(4) Veterinary science,1540,1555,1520,1545,1550
(5) Agriculture & related subjects,1755,1835,1975,2120,2345
(6) Physical sciences,10760,11085,11665,11770,11885
(7) Mathematical sciences,3770,4040,4405,4330,4665
(8) Computer science,9840,10360,10690,11600,12640
(9) Engineering & technology,19200,20135,20250,20615,20670
"(A) Architecture, building & planning",5245,5525,5600,5820,6155
(B) Social studies,19690,20095,20510,20335,21200
(C) Law,8300,8095,8285,8430,8750
(D) Business & administrative studies,32305,32635,32585,32460,33220
(E) Mass communications & documentation,3175,3360,3355,3490,3440
(F) Languages,12180,11385,11160,11775,12375
(G) Historical & philosophical studies,10595,10565,10820,11285,11730
(H) Creative arts & design,11175,11405,11905,12210,12170
(I) Education,13270,13680,13910,15235,15635
(J) Combined,10840,9190,8320,8165,6305
