(1) Medicine & dentistry,262940,10490,38405,18005
(2) Subjects allied to medicine,1156080,40555,146705,69015
(3) Biological sciences,886815,18420,111400,79945
(4) Veterinary science,25910,,7710,
(5) Agriculture & related subjects,74335,2905,10030,6645
(6) Physical sciences,378230,8745,57165,28745
(7) Mathematical sciences,184185,2815,21210,8050
(8) Computer science,386260,20930,55130,27145
(9) Engineering & technology,643685,18825,100870,50330
"(A) Architecture, building & planning",205180,8020,28345,10135
(B) Social studies,904895,23950,101830,53115
(C) Law,374270,10670,41860,20605
(D) Business & administrative studies,1373280,39315,163205,90505
(E) Mass communications & documentation,216105,4325,16820,11980
(F) Languages,441575,9350,58875,38145
(G) Historical & philosophical studies,346465,6965,54995,22475
(H) Creative arts & design,746775,10925,58865,43170
(I) Education,630555,32615,71730,55180
(J) Combined,146860,7265,42820,24570
